,eosinophils_1,eosinophils_PMA_2h_1,mast_cells_1,mast_cells_IgE_2h_1,dc_LPS_48h_1,mast_cells_IgE_2h_2,dc_1,dc_2,dc_LPS_48h_2,macrophages_1,macrophages_2,macrophages_LPS_4h_1,macrophages_LPS_4h_2,mast_cells_2,neutrophils_1,neutrophils_2,bcells_1,bcells_2,neutrophils_LPS_1h_1,basophils_1,effector_memory_T_cells_1,effector_memory_T_cells_2,NK_1,NK_2,basophils_2,central_memory_T_cells_1,central_memory_T_cells_2,th1_cells_1,th1_cells_2,th2_cells_1,th2_cells_2,eosinophils_control_rep2
A1CF,66.8,91.3,70.2,59.6,52.9,59.6,58.2,124.2,55.0,49.8,64.0,59.2,52.3,55.9,60.1,73.1,60.3,67.0,124.0,52.5,138.0,96.6,81.5,142.6,44.0,188.5,75.5,56.1,50.0,34.0,57.0,81.4
A2M,25.6,5.5,263.0,534.6,3587.3,534.6,4370.5,6410.2,7336.7,1797.6,1765.3,1767.6,1966.4,267.2,21.5,4.4,16.4,24.1,15.3,6.5,11.3,45.4,13.7,24.5,12.7,83.6,11.0,21.5,6.9,17.7,24.0,36.3
A4GALT,50.2,18.0,21.1,18.9,6.6,18.9,16.7,86.4,44.0,8.4,27.0,13.9,20.0,35.0,15.4,18.0,2.0,15.5,23.8,4.0,14.0,38.5,9.6,15.1,13.9,23.0,42.2,20.7,7.2,9.3,9.7,32.6
A4GNT,63.9,63.0,33.7,31.3,33.9,31.3,31.6,98.7,81.1,52.0,30.0,33.4,41.8,39.6,44.6,23.8,14.7,12.5,66.2,37.3,54.7,78.8,63.6,36.3,38.7,138.7,40.0,52.5,25.7,41.1,26.3,68.8
AAAS,5.1,19.5,6.5,18.5,6.2,18.5,14.4,123.7,118.1,33.9,5.5,5.0,2.9,27.1,10.4,25.3,15.6,63.2,10.7,26.8,91.0,5.3,10.5,48.5,8.0,24.6,45.6,23.7,75.9,41.6,100.9,32.8
AACS,240.8,160.6,165.9,166.4,163.6,166.4,159.6,87.0,78.5,147.9,199.7,106.7,142.4,206.7,53.2,9.3,80.6,147.8,36.4,133.3,99.8,123.7,230.4,133.1,157.8,87.1,155.2,201.6,234.8,220.7,212.6,195.4
AADAC,29.2,23.2,5.0,16.3,2.6,16.3,2.3,21.2,58.7,1.4,1.9,6.1,1.8,4.5,5.4,36.6,4.8,12.2,3.6,7.3,2.3,14.9,10.6,8.4,3.9,12.6,1.4,3.1,2.1,3.8,3.9,4.9
AAGAB,62.6,51.650000000000006,74.05000000000001,93.94999999999999,126.5,93.94999999999999,82.05,127.4,137.9,72.60000000000001,69.35000000000001,54.0,55.300000000000004,90.1,37.650000000000006,62.45,70.8,58.7,16.549999999999997,72.3,65.85,96.85,135.6,87.14999999999999,120.7,62.349999999999994,70.45,90.64999999999999,107.39999999999999,161.7,116.75,50.05
AAK1,35.5,15.4,18.8,13.5,17.1,13.5,20.2,26.3,6.7,23.3,11.3,18.8,10.6,18.4,36.8,33.7,16.6,10.3,15.6,43.0,77.2,26.9,40.7,41.8,43.9,71.5,38.8,11.9,23.0,8.3,28.7,49.8
AAMDC,31.8,8.7,73.5,53.6,28.3,53.6,40.1,162.1,103.2,64.2,66.2,60.2,60.1,64.2,14.1,45.2,27.8,50.8,10.7,102.1,64.9,53.7,52.3,34.0,133.4,12.2,46.8,84.0,42.8,57.3,19.0,10.3
AAMP,156.6,127.7,167.9,205.2,149.9,205.2,187.3,179.7,181.9,209.9,168.6,202.6,176.5,197.1,51.5,38.0,158.5,225.1,34.3,14.5,161.8,169.5,145.1,270.0,93.5,271.8,141.7,161.7,150.7,211.5,225.7,147.3
AANAT,1.6,19.7,1.5,1.9,0.8,1.9,2.1,7.0,3.7,1.0,1.5,3.4,2.3,0.9,1.4,2.7,1.8,2.1,10.9,2.2,2.6,1.8,3.0,5.9,2.2,2.7,1.0,4.0,0.8,2.0,3.9,1.8
AAR2,159.2,144.7,233.5,183.0,128.7,183.0,133.9,307.3,292.9,139.4,159.9,124.9,126.3,211.9,85.2,79.3,134.3,183.0,60.3,139.2,253.4,167.1,258.3,272.1,183.3,270.3,179.0,158.3,183.1,216.1,193.0,80.1
AARS,377.3,107.4,1003.0,1156.8,547.2,1156.8,547.5,1133.2,930.9,314.0,332.5,309.3,196.8,1407.6,87.0,89.9,386.1,799.0,137.7,190.4,401.1,324.2,405.6,581.7,150.8,455.8,327.9,599.1,783.5,610.3,834.2,170.3
AASDHPPT,249.6,138.45,721.0,447.6,470.79999999999995,447.6,594.7,114.25,124.65,338.9,325.3,164.45000000000002,118.60000000000001,566.35,89.6,40.9,418.65,190.8,33.25,226.95,330.95,360.40000000000003,424.75,257.2,363.2,236.39999999999998,277.25,415.25,348.15,433.54999999999995,377.05,263.15
AASS,9.9,17.9,1.6500000000000001,1.7000000000000002,0.7000000000000001,1.7000000000000002,0.6000000000000001,19.799999999999997,2.1,0.8,0.7000000000000001,1.2,2.5,2.8,12.4,1.55,1.1,4.05,2.45,8.5,14.8,2.5,2.35,2.65,1.35,10.35,0.95,7.9,0.8,2.45,5.1,2.45
AATF,229.4,214.3,200.6,226.9,136.7,226.9,101.2,247.3,196.0,144.3,154.9,117.2,127.7,231.9,208.5,224.4,234.4,376.6,233.6,223.2,289.1,239.7,245.5,472.4,121.4,278.5,264.9,213.2,319.9,304.2,300.4,303.7
AATK,29.2,88.7,138.8,60.1,118.9,60.1,91.8,161.7,80.9,113.9,116.6,57.1,78.5,92.4,460.6,384.6,73.3,35.2,1027.7,81.6,129.4,13.4,164.1,139.7,67.0,27.6,33.8,29.7,35.3,74.2,55.7,141.9
ABAT,87.4,70.1,111.1,53.7,59.0,53.7,453.0,63.9,38.4,144.6,88.9,82.0,53.3,93.0,286.2,269.5,172.1,41.4,69.9,121.2,67.1,62.7,134.0,72.7,115.4,83.8,107.4,31.1,42.8,104.0,165.7,113.6
ABCA1,1066.8,1156.0,456.7,257.9,517.8,257.9,323.8,71.0,183.9,893.8,843.1,1047.8,965.8,150.0,672.9,441.8,227.9,91.3,487.5,106.4,30.7,38.6,29.0,29.1,131.1,39.7,32.3,96.9,46.5,21.9,11.0,1235.2
ABCA11P,17.7,6.2,17.5,23.9,21.7,23.9,30.0,43.6,42.3,15.7,22.5,16.1,11.4,34.3,16.4,27.0,66.2,25.6,35.1,43.2,34.8,27.6,58.5,22.5,28.4,79.0,40.5,22.2,26.9,27.1,19.4,36.9
ABCA12,22.1,1.3,8.1,6.9,5.4,6.9,0.7,12.0,6.9,1.0,12.4,9.4,6.1,11.5,23.0,3.2,5.8,14.4,5.4,29.1,2.3,21.8,21.2,15.3,4.2,35.4,15.1,13.0,15.7,1.2,18.6,1.9
ABCA2,3.5,12.4,14.5,3.7,4.6,3.7,4.0,19.5,11.9,3.5,6.8,3.5,5.8,3.9,9.6,5.5,4.1,10.0,8.6,6.8,9.5,43.4,13.3,56.4,5.0,30.3,14.7,5.0,20.6,4.1,14.5,8.6
ABCA3,5.2,5.1,35.8,37.6,3.8,37.6,4.0,33.5,10.4,4.4,2.9,9.6,10.0,44.5,4.7,6.2,8.6,13.8,5.5,10.0,47.4,40.7,43.9,14.9,8.1,13.7,11.0,6.1,24.7,7.0,12.0,4.4
ABCA4,10.6,11.7,7.5,4.6,2.5,4.6,10.0,7.3,12.9,20.1,9.2,6.5,17.9,5.4,9.0,11.0,3.5,3.7,46.4,10.4,77.6,18.8,19.8,19.2,19.6,59.1,4.0,21.8,10.6,6.8,18.5,63.0
ABCA5,216.4,241.2,59.2,26.5,170.9,26.5,104.3,88.6,163.9,62.5,45.7,43.4,32.2,42.3,96.8,36.5,160.9,30.1,70.6,171.7,237.5,145.4,208.2,64.8,125.9,225.9,230.6,55.0,83.8,50.3,31.2,107.0
ABCA6,6.7,9.6,13.6,3.4,33.6,3.4,32.7,2.6,17.6,18.6,23.9,38.5,65.3,4.4,5.5,15.2,5.2,14.6,49.0,4.0,14.2,2.4,15.8,26.3,3.8,15.1,5.5,7.9,7.4,11.6,13.2,1.8
ABCA7,133.9,117.0,65.2,67.8,33.9,67.8,27.2,88.2,122.0,42.9,61.0,17.2,30.0,74.9,254.7,271.1,132.5,173.3,248.3,123.1,118.6,98.3,106.7,142.4,53.6,154.4,111.6,45.1,63.2,23.2,40.9,145.0
ABCA8,5.1,12.8,6.9,6.1,4.6,6.1,1.3,34.0,2.8,0.6,5.5,4.6,1.7,6.7,1.8,3.6,10.6,1.7,2.2,13.3,10.3,3.6,10.8,9.2,6.7,36.3,14.2,9.8,9.3,1.2,12.7,3.4
ABCB1,18.7,5.0,56.0,55.7,6.9,55.7,14.1,69.9,13.9,11.2,23.6,11.9,5.8,32.3,40.6,30.3,82.0,55.7,26.4,33.2,162.3,164.4,422.7,196.4,42.8,102.4,74.7,40.8,50.5,62.8,97.1,7.1
ABCB11,26.95,30.0,6.9,17.25,9.2,17.25,11.5,7.0,15.8,7.8500000000000005,22.35,7.25,9.35,15.55,16.6,27.95,2.65,2.3,42.6,23.05,18.55,5.800000000000001,15.7,21.049999999999997,14.450000000000001,7.800000000000001,22.150000000000002,14.399999999999999,11.350000000000001,3.5,7.7,26.3
ABCB4,8.8,31.7,1.2,20.1,6.9,20.1,35.0,42.7,6.9,25.2,11.4,7.5,1.2,2.4,16.5,8.6,294.1,260.2,21.7,28.9,3.9,5.4,2.1,2.0,2.3,32.6,3.5,2.8,10.8,4.6,17.2,12.0
ABCB6,12.9,41.949999999999996,3.75,24.549999999999997,22.299999999999997,24.549999999999997,23.7,49.0,61.7,4.0,5.449999999999999,5.95,3.9000000000000004,28.650000000000002,4.65,9.55,17.75,43.900000000000006,8.75,36.15,19.75,7.25,12.1,30.8,17.4,13.100000000000001,32.35,47.900000000000006,67.05000000000001,37.0,29.650000000000002,16.85
ABCB7,81.2,81.8,120.0,82.2,119.2,82.2,114.4,120.3,138.1,106.8,79.6,74.6,68.4,108.2,8.7,2.2,186.7,175.5,5.7,304.5,143.3,125.5,146.9,96.3,159.7,187.6,155.2,187.0,120.4,376.1,192.0,60.8
ABCB8,2.5,3.4,2.6,3.9,1.6,3.9,5.7,5.3,12.4,5.5,2.4,2.8,1.4,3.9,2.4,5.1,2.7,7.7,3.4,2.7,6.6,4.5,2.4,8.2,2.3,12.2,2.6,16.2,12.5,2.7,2.7,6.3
ABCB9,20.35,6.15,9.75,13.049999999999999,22.5,13.049999999999999,34.8,30.8,68.7,25.75,23.05,15.649999999999999,8.4,11.8,18.700000000000003,8.3,31.049999999999997,77.0,8.05,6.15,13.899999999999999,17.75,6.5,8.8,4.1,22.85,13.9,17.7,4.1,8.2,5.45,7.800000000000001
ABCC1,534.75,491.79999999999995,701.3000000000001,657.85,583.85,657.85,313.34999999999997,447.20000000000005,724.6,311.2,302.95,443.20000000000005,402.4,655.4,147.7,84.9,290.55,277.8,108.5,1272.15,238.9,212.0,211.6,147.45,1514.65,366.3,276.65,273.7,378.85,324.0,333.25,603.15
ABCC10,143.35,188.35000000000002,221.0,312.55,350.5,312.55,321.90000000000003,288.8,382.70000000000005,199.7,257.70000000000005,149.35,168.0,502.29999999999995,79.15,108.0,233.04999999999998,150.3,72.5,188.0,439.1,702.6999999999999,263.9,224.55,192.35000000000002,497.2,632.5,207.4,168.25,152.95,230.79999999999998,152.45
ABCC2,12.1,8.5,10.8,20.8,14.0,20.8,13.0,8.9,11.0,4.8,1.9,3.1,8.9,19.4,27.9,40.2,8.7,3.2,24.8,10.3,6.5,21.4,11.7,14.1,18.2,29.8,2.2,31.2,42.0,3.1,1.7,5.4
ABCC3,6.050000000000001,10.55,8.450000000000001,14.55,754.55,14.55,881.3,834.55,1279.7,328.75,196.10000000000002,189.85000000000002,215.5,7.75,5.15,6.75,3.6,4.65,5.7,6.199999999999999,7.65,5.95,9.45,6.699999999999999,6.6,8.0,4.05,4.199999999999999,2.6500000000000004,2.75,1.9500000000000002,9.4
ABCC4,26.7,55.9,1441.1,549.1,48.5,549.1,58.3,16.8,4.4,45.9,55.2,36.2,28.6,1095.8,2.0,18.0,106.1,56.0,1.6,37.6,97.1,84.4,101.1,49.0,8.5,128.4,100.7,34.4,20.9,99.5,69.8,94.2
ABCC5,186.8,209.9,322.9,216.5,121.9,216.5,192.8,151.1,181.1,203.3,169.0,104.5,76.0,144.7,536.3,442.0,164.1,146.6,203.7,292.0,325.6,279.8,366.6,254.5,256.8,401.3,280.1,75.0,124.4,120.1,172.9,173.7
ABCC6,5.4,25.0,20.1,28.7,30.3,28.7,3.6,15.8,32.3,48.3,3.9,5.8,23.8,3.7,6.3,26.6,2.7,3.8,8.5,25.4,7.0,8.3,4.5,4.6,18.6,11.1,12.8,3.4,2.8,10.7,3.4,10.3
ABCC8,3.9,5.5,6.300000000000001,5.1,1.4,5.1,2.8000000000000003,5.5,5.4,3.75,2.95,3.4,3.55,3.95,6.95,4.95,3.6999999999999997,4.8999999999999995,5.3,3.05,11.65,4.85,5.7,6.4,3.5500000000000003,8.9,4.2,5.25,3.35,3.1500000000000004,4.8,4.15
ABCC9,6.9,35.1,15.8,3.7,3.0,3.7,11.9,13.4,5.6,7.0,16.3,5.3,10.2,6.6,6.3,3.7,7.5,8.5,17.8,14.5,36.0,25.4,23.5,32.0,7.8,43.0,12.7,6.9,2.2,13.2,17.0,38.2
ABCD1,121.8,106.2,45.9,26.2,161.1,26.2,100.5,222.9,207.8,128.1,120.4,114.5,91.8,43.2,72.1,78.9,29.2,75.9,127.2,56.4,89.7,67.6,48.3,139.1,5.1,121.5,35.0,50.3,66.8,47.3,31.1,112.6
ABCD2,17.6,35.2,15.2,14.4,12.1,14.4,1.2,5.6,17.2,8.3,7.2,8.7,5.0,7.3,11.9,9.7,17.9,5.6,10.2,24.9,45.4,21.3,17.7,24.8,25.5,57.4,42.2,17.4,30.1,35.1,14.8,19.7
ABCD3,117.2,89.8,429.8,199.9,362.3,199.9,702.4,86.7,63.9,480.8,467.3,337.2,186.5,358.2,40.0,19.3,367.5,66.4,32.8,91.8,282.3,449.8,511.3,186.2,75.5,248.1,271.4,289.7,315.4,844.8,510.5,113.2
ABCD4,39.1,48.8,51.55,46.55,44.699999999999996,46.55,58.15,55.0,76.25,56.1,26.95,30.950000000000003,28.8,58.25,29.799999999999997,20.05,80.0,71.05,33.8,47.5,91.2,62.150000000000006,74.39999999999999,87.2,97.94999999999999,80.35,72.95,31.05,37.599999999999994,46.25,39.45,50.1
ABCE1,47.3,61.3,361.75,546.1500000000001,352.85,546.1500000000001,387.35,110.05000000000001,134.55,297.95,394.8,229.79999999999998,233.8,510.09999999999997,25.299999999999997,23.8,276.9,123.15,31.5,57.6,213.95000000000002,262.55,151.4,95.25,71.9,237.10000000000002,311.45000000000005,617.0,315.6,739.65,502.2,46.4
ABCF1,500.3,1211.6,444.7,518.6,479.0,518.6,359.4,492.1,726.0,412.3,373.9,382.6,342.3,499.6,199.2,225.1,410.8,561.7,1384.0,170.5,519.1,693.3,726.9,945.6,142.7,435.6,735.1,755.7,764.3,643.6,573.2,208.0
